Model,Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Learning Rate
DenseNet121,1,0.3613335577962555,0.8341121495327103,0.30452843990338885,0.8858695652173914,0.0001
DenseNet121,2,0.24170330612458915,0.8995327102803738,0.2855226695537567,0.907608695652174,0.0001
DenseNet121,3,0.1091352068584099,0.9649532710280374,0.23168922972905895,0.9347826086956522,0.0001
DenseNet121,4,0.0932970335271871,0.9661214953271028,0.24790577505431746,0.9293478260869565,0.0001
DenseNet121,5,0.07673915574831941,0.9813084112149533,0.31227310763105104,0.9130434782608695,0.0001
DenseNet121,6,0.08550697129010876,0.9719626168224299,0.3891392931868525,0.8967391304347826,5e-05
DenseNet121,7,0.07515591022201648,0.9766355140186916,0.3126366050185069,0.9239130434782609,5e-05
DenseNet121,8,0.026134284552639334,0.9953271028037384,0.2713214708087237,0.9293478260869565,5e-05
DenseNet121,9,0.014758432721370987,0.9964953271028038,0.26183563725941855,0.9402173913043478,2.5e-05
DenseNet121,10,0.016872760865872152,0.9976635514018691,0.3187101677303081,0.9293478260869565,2.5e-05
DenseNet121,11,0.021117959243341165,0.9953271028037384,0.29227465459995944,0.9293478260869565,2.5e-05
DenseNet121,12,0.010797462741644165,0.9976635514018691,0.3488498293268292,0.9239130434782609,1.25e-05
DenseNet121,13,0.00727468043583158,1.0,0.33451723347863427,0.9239130434782609,1.25e-05
DenseNet121,14,0.007925820695758562,1.0,0.36843453938870324,0.9239130434782609,1.25e-05
DenseNet121,15,0.018065582007761594,0.9964953271028038,0.32843747006162355,0.9239130434782609,6.25e-06
