Model,Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Learning Rate
ResNet50,1,0.4285476089359444,0.8177570093457944,0.2946908590586289,0.907608695652174,0.0001
ResNet50,2,0.20721316421143363,0.9264018691588785,0.43933025294024014,0.8641304347826086,0.0001
ResNet50,3,0.1247373613067598,0.9544392523364486,0.40484761333336,0.9130434782608695,0.0001
ResNet50,4,0.15281135651552788,0.9369158878504673,0.42938520123615215,0.8913043478260869,5e-05
ResNet50,5,0.09317251916313282,0.9649532710280374,0.4309279483783504,0.9021739130434783,5e-05
ResNet50,6,0.05240365136937003,0.9836448598130841,0.427934171743286,0.8858695652173914,5e-05
ResNet50,7,0.031516676259479515,0.9894859813084113,0.4618766888895113,0.8967391304347826,2.5e-05
ResNet50,8,0.023964864750192546,0.9929906542056075,0.5838762654558473,0.8913043478260869,2.5e-05
ResNet50,9,0.02353008995137273,0.9964953271028038,0.5479022164869568,0.8695652173913043,2.5e-05
ResNet50,10,0.011882660481817672,0.9964953271028038,0.5122257486876586,0.8804347826086957,1.25e-05
ResNet50,11,0.012475633510675665,0.9964953271028038,0.5030541476267187,0.8858695652173914,1.25e-05
ResNet50,12,0.011651954836664704,0.9976635514018691,0.5154184728212978,0.8913043478260869,1.25e-05
ResNet50,13,0.01064917970683739,0.9953271028037384,0.563341821341411,0.8804347826086957,6.25e-06
ResNet50,14,0.01256407236584645,0.9964953271028038,0.5695949789420094,0.8804347826086957,6.25e-06
ResNet50,15,0.008544095678724975,0.9976635514018691,0.6061137421866474,0.8804347826086957,6.25e-06
