Serial,Unnamed: 1,Unnamed: 2,Name,Ripeness,Side Case,Symptom1,Symptom2,Symptom3,Recommendation 1,Recommendation 2,Photos,image_name,label,tomato_id,image_path,source_folder,split
1,,1.0,T0001_E,Ripe,clear,,,,radial cracks,,,T0001_E,clear,T0001,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0001_E.png,Manualy Segmented,train
1,,1.0,T0001_E,Ripe,clear,,,,radial cracks,,,T0001_E,clear,T0001,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0001_E.JPG,Unsegmented,train
2,,,T0001_S1,,defected,Long horizontal crack,,,,,,T0001_S1,defected,T0001,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0001_S1.png,Manualy Segmented,train
2,,,T0001_S1,,defected,Long horizontal crack,,,,,,T0001_S1,defected,T0001,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0001_S1.JPG,Unsegmented,train
3,,,T0001_S2,,defected,Long horizontal crack,,,,,,T0001_S2,defected,T0001,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0001_S2.png,Manualy Segmented,train
3,,,T0001_S2,,defected,Long horizontal crack,,,,,,T0001_S2,defected,T0001,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0001_S2.JPG,Unsegmented,train
4,,,T0001_T,,defected,3 Long radial cracks,,,,,,T0001_T,defected,T0001,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0001_T.png,Manualy Segmented,train
4,,,T0001_T,,defected,3 Long radial cracks,,,,,,T0001_T,defected,T0001,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0001_T.JPG,Unsegmented,train
5,,2.0,T0002_E,Ripe,clear,,,,radial cracks,,,T0002_E,clear,T0002,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0002_E.png,Manualy Segmented,train
5,,2.0,T0002_E,Ripe,clear,,,,radial cracks,,,T0002_E,clear,T0002,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0002_E.JPG,Unsegmented,train
6,,,T0002_S1,,clear,,,,,,,T0002_S1,clear,T0002,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0002_S1.png,Manualy Segmented,train
6,,,T0002_S1,,clear,,,,,,,T0002_S1,clear,T0002,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0002_S1.JPG,Unsegmented,train
7,,,T0002_S2,,defected,Short horizontal cracks,,,,,,T0002_S2,defected,T0002,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0002_S2.png,Manualy Segmented,train
7,,,T0002_S2,,defected,Short horizontal cracks,,,,,,T0002_S2,defected,T0002,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0002_S2.JPG,Unsegmented,train
8,,,T0002_T,,defected,1 Short radial crack,,,,,,T0002_T,defected,T0002,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0002_T.png,Manualy Segmented,train
8,,,T0002_T,,defected,1 Short radial crack,,,,,,T0002_T,defected,T0002,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0002_T.JPG,Unsegmented,train
9,,3.0,T0003_E,Ripe,clear,,,,radial cracks,,,T0003_E,clear,T0003,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0003_E.png,Manualy Segmented,train
9,,3.0,T0003_E,Ripe,clear,,,,radial cracks,,,T0003_E,clear,T0003,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0003_E.JPG,Unsegmented,train
10,,,T0003_S1,Ripe,clear,,,,,,,T0003_S1,clear,T0003,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0003_S1.png,Manualy Segmented,train
10,,,T0003_S1,Ripe,clear,,,,,,,T0003_S1,clear,T0003,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0003_S1.JPG,Unsegmented,train
11,,,T0003_S2,Ripe,defected,Long horizontal crack,,,,,,T0003_S2,defected,T0003,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0003_S2.png,Manualy Segmented,train
11,,,T0003_S2,Ripe,defected,Long horizontal crack,,,,,,T0003_S2,defected,T0003,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0003_S2.JPG,Unsegmented,train
12,,,T0003_T,Ripe,defected,1 Long radial crack,,,,,,T0003_T,defected,T0003,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0003_T.png,Manualy Segmented,train
12,,,T0003_T,Ripe,defected,1 Long radial crack,,,,,,T0003_T,defected,T0003,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0003_T.JPG,Unsegmented,train
13,,4.0,T0004_E,Ripe,defected,Black blotch,,,radial cracks,Blossom end rot,,T0004_E,defected,T0004,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0004_E.png,Manualy Segmented,train
13,,4.0,T0004_E,Ripe,defected,Black blotch,,,radial cracks,Blossom end rot,,T0004_E,defected,T0004,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0004_E.JPG,Unsegmented,train
14,,,T0004_S1,Ripe,clear,,,,,,,T0004_S1,clear,T0004,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0004_S1.png,Manualy Segmented,train
14,,,T0004_S1,Ripe,clear,,,,,,,T0004_S1,clear,T0004,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0004_S1.JPG,Unsegmented,train
15,,,T0004_S2,Ripe,defected,Long horizontal crack,,,,,,T0004_S2,defected,T0004,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0004_S2.png,Manualy Segmented,train
15,,,T0004_S2,Ripe,defected,Long horizontal crack,,,,,,T0004_S2,defected,T0004,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0004_S2.JPG,Unsegmented,train
16,,,T0004_T,Ripe,defected,1 Long radial crack,,,,,,T0004_T,defected,T0004,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0004_T.png,Manualy Segmented,train
16,,,T0004_T,Ripe,defected,1 Long radial crack,,,,,,T0004_T,defected,T0004,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0004_T.JPG,Unsegmented,train
21,,6.0,T0006_E,Ripe,clear,,,,radial cracks,,,T0006_E,clear,T0006,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0006_E.png,Manualy Segmented,train
21,,6.0,T0006_E,Ripe,clear,,,,radial cracks,,,T0006_E,clear,T0006,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0006_E.JPG,Unsegmented,train
22,,,T0006_S1,Ripe,defected,Long horizontal crack,,,,,,T0006_S1,defected,T0006,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0006_S1.png,Manualy Segmented,train
